x;y
12.139;32.0996
12.1162;32.134
12.0928;32.1573
12.0618;32.1921
12.0467;32.2151
12.0234;32.2384
12.0004;32.2728
11.977;32.296
11.9541;32.3305
11.9388;32.3534
11.9157;32.3876
11.8923;32.4108
11.8688;32.434
11.8462;32.4686
11.8233;32.4924
11.8089;32.5267
11.7859;32.5503
11.7633;32.5849
11.74;32.6083
11.7247;32.6311
11.7018;32.6656
11.6783;32.6887
11.6554;32.7232
11.632;32.7464
11.609;32.7807
11.594;32.8039
11.5715;32.8386
11.5483;32.8621
11.5252;32.8856
11.5106;32.9198
11.4874;32.9432
11.4647;32.9777
11.4498;33.001
11.4271;33.0356
11.404;33.0591
11.3813;33.0937
11.3663;33.1168
11.3435;33.1513
11.3203;33.1748
11.2969;33.198
11.2739;33.2323
11.2584;33.2551
11.2352;33.2892
11.2117;33.3124
11.1888;33.3468
11.1655;33.3701
11.1423;33.3936
11.1197;33.4282
11.0968;33.4519
11.0826;33.4864
11.0597;33.5102
11.037;33.5448
11.0142;33.5685
10.9916;33.6032
10.9684;33.6266
10.9537;33.6607
10.9304;33.684
10.9073;33.7183
10.8838;33.7415
10.8604;33.7647
10.8373;33.7989
10.8138;33.8222
10.7912;33.8568
10.7683;33.8912
10.7532;33.9142
10.7306;33.949
10.7078;33.9727
10.6852;34.0074
10.6621;34.0309
10.6396;34.0656
10.6246;34.0887
10.6019;34.1233
10.5787;34.1468
10.5558;34.1811
10.5323;34.2044
10.5094;34.2387
10.4862;34.2622
10.4635;34.2968
10.4404;34.3203
10.4176;34.3547
10.4026;34.3779
10.3793;34.4012
10.3563;34.4356
10.3332;34.4698
10.3095;34.4927
10.2864;34.527
10.2629;34.5502
10.2395;34.5734
10.2165;34.6078
10.2009;34.6304
10.1777;34.6645
10.1539;34.6875
10.131;34.7218
10.1072;34.7448
10.0841;34.779
10.061;34.8025
10.0383;34.8371
10.023;34.86
9.99973;34.894
9.97615;34.9172
9.95286;34.9405
9.93018;34.9751
9.90689;34.9985
9.88407;35.0329
9.86092;35.0564
9.8381;35.0909
9.81495;35.1144
9.79242;35.1491
9.7771;35.172
9.75384;35.2061
9.7304;35.2293
9.70729;35.2635
9.68356;35.2865
9.6603;35.3206
9.63657;35.3436
9.61346;35.3778
9.58988;35.4009
9.56644;35.4241
9.54347;35.4585
9.52019;35.4818
9.49751;35.5164
9.48293;35.5399
9.46083;35.575
9.43829;35.6097
9.41471;35.6328
9.39971;35.6667
9.37599;35.6897
9.35258;35.7237
9.32885;35.7467
9.297;35.77
9.282;35.8039
9.25857;35.8271
9.23574;35.8616
9.21291;35.896
9.18948;35.9193
9.16665;35.9537
9.14336;35.9771
9.12054;36.0116
9.09739;36.035
9.07456;36.0695
9.05188;36.1041
9.02859;36.1275
9.00592;36.162
8.98278;36.1855
8.95996;36.22
8.93728;36.2546
8.91384;36.2778
8.89073;36.312
8.86715;36.3351
8.84403;36.3693
8.82107;36.4037
8.78952;36.4272
8.76669;36.4617
8.74326;36.4849
8.72044;36.5194
8.69776;36.554
8.67476;36.5776
8.65223;36.6123
8.62895;36.6357
8.60613;36.6701
8.58361;36.7048
8.56047;36.7283
8.53793;36.763
8.50652;36.7867
8.48355;36.8211
8.46058;36.8554
8.43715;36.8786
8.41418;36.913
8.3906;36.9361
8.36749;36.9703
8.34406;36.9935
8.32124;37.028
8.29058;37.063
8.26729;37.0864
8.24446;37.1209
8.22131;37.1443
8.19863;37.1789
8.17519;37.2022
8.15236;37.2366
8.12954;37.2711
8.10625;37.2945
8.08343;37.3289
8.05999;37.3522
8.0289;37.3868
8.00607;37.4213
7.98324;37.4558
7.96008;37.4793
7.93725;37.5138
7.91424;37.5374
7.89141;37.5719
7.86826;37.5953
7.84558;37.6299
7.8232;37.6648
7.80067;37.6995
7.778;37.7341
7.75486;37.7575
7.72378;37.7922
7.70095;37.8267
7.67781;37.8502
7.65498;37.8846
7.63169;37.908
7.60887;37.9424
7.58605;37.9769
7.5551;38.0117
7.53196;38.0352
7.50928;38.0698
7.48584;38.093
7.45475;38.1277
7.43191;38.1622
7.40847;38.1854
7.38507;38.2194
7.36167;38.2533
7.33795;38.2763
7.30687;38.311
7.28406;38.3454
7.25265;38.3691
7.22997;38.4037
7.20729;38.4383
7.18414;38.4618
7.16117;38.4961
7.13806;38.5303
7.10665;38.554
7.08397;38.5886
7.06143;38.6233
7.03861;38.6578
7.0072;38.6815
6.98437;38.716
6.96155;38.7504
6.93841;38.7739
6.91559;38.8084
6.8845;38.8431
6.86107;38.8663
6.83796;38.9005
6.80687;38.9352
6.78376;38.9694
6.76004;38.9924
6.73707;39.0267
6.70599;39.0614
6.68241;39.0845
6.65944;39.1188
6.63662;39.1533
6.6129;39.1762
6.58181;39.2109
6.55899;39.2454
6.5363;39.28
6.5049;39.3037
6.48207;39.3381
6.45939;39.3727
6.43657;39.4072
6.40516;39.4309
6.38219;39.4652
6.35936;39.4997
6.33607;39.5231
6.30497;39.5577
6.282;39.5921
6.2512;39.627
6.2282;39.6506
6.20552;39.6852
6.18298;39.7199
6.16044;39.7547
6.12964;39.7896
6.10635;39.8129
6.07526;39.8476
6.05258;39.8822
6.02117;39.9059
5.99805;39.9401
5.97523;39.9746
5.94414;40.0093
5.92117;40.0436
5.89788;40.067
5.86649;40.1014
5.84324;40.1355
5.82027;40.1698
5.78918;40.2045
5.75763;40.2281
5.73466;40.2624
5.70372;40.2972
5.68103;40.3318
5.6582;40.3663
5.6274;40.4012
5.60457;40.4357
5.57288;40.4591
5.54976;40.4933
5.51852;40.5279
5.48714;40.5623
5.46388;40.5964
5.43264;40.631
5.40982;40.6654
5.3867;40.6996
5.35576;40.7344
5.33233;40.7577
5.30124;40.7923
5.27813;40.8265
5.24704;40.8612
5.22422;40.8957
5.19298;40.9302
5.16987;40.9645
5.13864;40.999
5.1077;41.0338
5.08487;41.0683
5.05393;41.1031
5.03082;41.1373
4.99988;41.1721
4.97721;41.2067
4.94626;41.2415
4.92269;41.2646
4.8916;41.2992
4.86878;41.3337
4.83798;41.3686
4.8153;41.4032
4.78464;41.4383
4.76167;41.4726
4.73043;41.5072
4.69934;41.5418
4.67605;41.5652
4.6451;41.6
4.62227;41.6345
4.59147;41.6694
4.56864;41.7039
4.5374;41.7385
4.51428;41.7727
4.48305;41.8072
4.46022;41.8417
4.42928;41.8765
4.40631;41.9108
4.37508;41.9454
4.34338;41.9688
4.32026;42.003
4.28888;42.0375
4.26606;42.0719
4.23483;42.1065
4.21186;42.1408
4.18106;42.1757
4.15838;42.2103
4.12729;42.245
4.09574;42.2686
4.07306;42.3032
4.05024;42.3376
4.01915;42.3723
3.99618;42.4066
3.96495;42.4412
3.94198;42.4755
3.91104;42.5103
3.88789;42.5338
3.85709;42.5687
3.82629;42.6037
3.80346;42.6381
3.77266;42.6731
3.74998;42.7077
3.71872;42.7315
3.69604;42.7661
3.66524;42.801
3.6427;42.8357
3.61204;42.8708
3.58109;42.9056
3.55841;42.9402
3.52714;42.964
3.5046;42.9987
3.47394;43.0338
3.45126;43.0684
3.42829;43.1027
3.39734;43.1375
3.36625;43.1722
3.33531;43.207
3.3123;43.2306
3.28164;43.2657
3.25896;43.3003
3.22845;43.3355
3.20591;43.3702
3.17525;43.4053
3.15257;43.4399
3.12191;43.4749
3.09905;43.4987
3.06899;43.545
3.04631;43.5796
3.01518;43.6035
2.98452;43.6386
2.96227;43.6736
2.93232;43.7093
2.91021;43.7444
2.87983;43.7797
2.85786;43.8149
2.82745;43.8395
2.80608;43.886
2.77552;43.9105
2.74586;43.9465
2.72431;43.9821
2.69506;44.0185
2.67408;44.0546
2.65323;44.0909
2.62398;44.1273
2.6027;44.1632
2.57312;44.1886
2.54475;44.2365
2.52375;44.2726
2.49389;44.2978
2.46421;44.3337
2.44278;44.3695
2.41366;44.406
2.38467;44.4427
2.36366;44.4789
2.3342;44.5044
2.30535;44.5412
2.28521;44.5889
2.25676;44.6261
2.23615;44.6627
2.20695;44.6886
2.17849;44.7258
2.15841;44.7629
2.13021;44.8004
2.10187;44.8378
2.08132;44.8638
2.0531;44.9013
2.03374;44.9499
2.00619;44.9881
1.97803;45.0151
1.95858;45.053
1.93114;45.0913
1.90396;45.13
1.87645;45.1577
1.8575;45.1961
1.83055;45.2351
1.80345;45.2739
1.78459;45.3126
1.75772;45.3517
1.73896;45.3906
1.71121;45.4182
1.68418;45.4572
1.65753;45.4967
1.63066;45.5254
1.60412;45.565
1.5773;45.6044
1.55872;45.6436
1.53165;45.6721
1.50529;45.7121
1.4789;45.7521
1.4519;45.7809
1.42511;45.8205
1.39758;45.8487
1.37113;45.8888
1.34456;45.9182
1.31831;45.9586
1.29216;45.9992
1.26576;46.029
1.2398;46.0699
1.21406;46.1111
1.18806;46.1416
1.16226;46.1828
1.13584;46.2129
1.10998;46.2542
1.0835;46.2843
1.05711;46.3146
1.03104;46.3558
0.996247;46.3862
0.969431;46.416
0.942476;46.4458
0.916418;46.4872
0.88152;46.5177
0.854952;46.5585
0.828005;46.5885
0.793132;46.6191
0.766816;46.6606
0.731888;46.6912
0.705055;46.7216
0.67866;46.7631
0.643973;46.7943
0.61737;46.8252
0.58297;46.8674
0.556086;46.898
0.52105;46.929
0.494309;46.96
0.467535;46.991
0.432712;47.0225
0.397853;47.0541
0.362962;47.0856
0.336618;47.128
0.301653;47.1596
0.274571;47.1906
0.239238;47.2218
0.203774;47.2528
0.176496;47.2837
0.140968;47.3147
0.105504;47.346
0.0699166;47.377
0.0342033;47.408
0.00676733;47.4389
-0.0285441;47.4708
-0.0640762;47.5023
-0.0995525;47.534
-0.126855;47.5655
-0.162317;47.5974
-0.198192;47.6184
-0.233553;47.6507
-0.269043;47.6828
-0.304655;47.7148
-0.340046;47.7473
-0.375779;47.7691
-0.402975;47.8016
-0.438337;47.8346
